Date,Low,Open,Volume,High,Close,Adjusted Close
21-02-1973,5.234375,0.0,18400,5.5625,5.234375,2.11991810798645
22-02-1973,5.234375,0.0,31200,5.328125,5.28125,2.1389026641845703
23-02-1973,5.0625,0.0,29600,5.28125,5.0625,2.050309419631958
26-02-1973,5.0,0.0,21600,5.09375,5.0,2.024996042251587
27-02-1973,4.953125,0.0,12800,5.03125,4.953125,2.006012201309204
28-02-1973,4.859375,0.0,44800,4.953125,4.9375,1.9996846914291382
01-03-1973,4.953125,0.0,23200,5.0,4.953125,2.006012201309204
02-03-1973,4.84375,0.0,52800,4.984375,4.921875,2.0044851303100586
05-03-1973,4.90625,0.0,21600,4.9375,4.90625,1.9981213808059692
06-03-1973,4.765625,0.0,18400,4.828125,4.796875,1.9535778760910034
07-03-1973,4.625,0.0,141600,4.8125,4.65625,1.8963062763214111
08-03-1973,4.625,0.0,40000,4.75,4.6875,1.909034013748169
09-03-1973,4.6875,0.0,88000,4.75,4.71875,1.9217599630355835
12-03-1973,4.6875,0.0,46400,4.734375,4.6875,1.909034013748169
13-03-1973,4.65625,0.0,60000,4.703125,4.6875,1.909034013748169
14-03-1973,4.625,0.0,103200,4.6875,4.65625,1.8963062763214111
15-03-1973,4.375,0.0,70400,4.578125,4.375,1.7817647457122803
16-03-1973,4.125,0.0,141600,4.296875,4.28125,1.7435839176177979
19-03-1973,4.1875,0.0,69600,4.265625,4.234375,1.7244943380355835
20-03-1973,4.140625,0.0,72800,4.203125,4.203125,1.7117676734924316
21-03-1973,4.15625,0.0,60000,4.234375,4.234375,1.7244943380355835
22-03-1973,4.171875,0.0,82400,4.28125,4.28125,1.7435839176177979
23-03-1973,4.25,0.0,79200,4.296875,4.296875,1.74994695186615
26-03-1973,4.28125,0.0,51200,4.328125,4.296875,1.74994695186615
27-03-1973,4.296875,0.0,76000,4.515625,4.515625,1.8390363454818726
28-03-1973,4.5625,0.0,70400,4.6875,4.640625,1.8899441957473755
29-03-1973,4.671875,0.0,63200,4.96875,4.953125,2.0172111988067627
30-03-1973,4.8125,0.0,40800,4.953125,4.90625,1.9981213808059692
02-04-1973,4.828125,0.0,24000,4.9375,4.859375,1.9790306091308594
03-04-1973,4.75,0.0,49600,4.859375,4.828125,1.9663045406341553
04-04-1973,4.640625,0.0,34400,4.8125,4.640625,1.8899441957473755
05-04-1973,4.59375,0.0,68000,4.625,4.625,1.883579969406128
06-04-1973,4.34375,0.0,46400,4.578125,4.34375,1.769036889076233
09-04-1973,4.125,0.0,360800,4.390625,4.265625,1.7372196912765503
10-04-1973,4.296875,0.0,77600,4.40625,4.40625,1.7944916486740112
11-04-1973,4.46875,0.0,132800,4.671875,4.671875,1.9026703834533691
12-04-1973,4.6875,0.0,64800,4.875,4.84375,1.9726678133010864
13-04-1973,4.8125,0.0,18400,4.890625,4.8125,1.959940791130066
16-04-1973,4.65625,0.0,52800,4.8125,4.6875,1.909034013748169
17-04-1973,4.6875,0.0,8000,4.703125,4.6875,1.909034013748169
18-04-1973,4.515625,0.0,16800,4.6875,4.5625,1.8581256866455078
19-04-1973,4.5,0.0,28000,4.5625,4.5,1.8326724767684937
23-04-1973,4.5,0.0,27200,4.59375,4.5,1.8326724767684937
24-04-1973,4.53125,0.0,108800,4.578125,4.53125,1.8453994989395142
25-04-1973,4.359375,0.0,56000,4.484375,4.359375,1.7754004001617432
26-04-1973,4.328125,0.0,37600,4.421875,4.375,1.7817647457122803
27-04-1973,4.25,0.0,54400,4.390625,4.25,1.7308562994003296
30-04-1973,4.171875,0.0,36800,4.484375,4.484375,1.826309084892273
01-05-1973,4.34375,0.0,111200,4.515625,4.40625,1.7944916486740112
02-05-1973,4.359375,0.0,107200,4.515625,4.359375,1.7754004001617432
03-05-1973,4.296875,0.0,63200,4.375,4.296875,1.74994695186615
04-05-1973,4.3125,0.0,183200,4.359375,4.359375,1.7754004001617432
07-05-1973,4.3125,0.0,36800,4.359375,4.3125,1.7563104629516602
08-05-1973,4.1875,0.0,13600,4.25,4.234375,1.7244943380355835
09-05-1973,4.1875,0.0,16800,4.234375,4.234375,1.7244943380355835
10-05-1973,4.109375,0.0,56000,4.1875,4.125,1.679949164390564
11-05-1973,4.171875,0.0,23200,4.21875,4.1875,1.7054036855697632
14-05-1973,4.09375,0.0,33600,4.140625,4.09375,1.667222499847412
15-05-1973,3.953125,0.0,38400,4.078125,4.0,1.6290420293807983
16-05-1973,3.9375,0.0,94400,4.0,4.0,1.6290420293807983
17-05-1973,3.9375,0.0,11200,3.984375,3.9375,1.603588342666626
18-05-1973,3.890625,0.0,24000,3.96875,3.921875,1.597224473953247
21-05-1973,3.828125,0.0,64800,3.921875,3.875,1.5781339406967163
22-05-1973,3.78125,0.0,43200,3.9375,3.84375,1.5654077529907227
23-05-1973,3.84375,0.0,37600,3.890625,3.875,1.5781339406967163
24-05-1973,3.8125,0.0,16000,3.90625,3.890625,1.584497332572937
25-05-1973,3.875,0.0,57600,4.046875,3.984375,1.6226787567138672
29-05-1973,3.953125,0.0,18400,4.078125,4.0,1.6290420293807983
30-05-1973,3.875,0.0,19200,3.984375,3.875,1.5781339406967163
31-05-1973,3.84375,0.0,12000,3.9375,3.90625,1.5908615589141846
01-06-1973,3.8125,0.0,19200,3.875,3.875,1.5781339406967163
04-06-1973,3.8125,0.0,13600,3.875,3.875,1.5781339406967163
05-06-1973,3.8125,0.0,16800,3.890625,3.8125,1.5526806116104126
06-06-1973,3.84375,0.0,138400,3.875,3.875,1.5781339406967163
07-06-1973,3.75,0.0,36800,3.8125,3.765625,1.5335904359817505
08-06-1973,3.8125,0.0,4800,3.859375,3.828125,1.5590440034866333
11-06-1973,3.78125,0.0,23200,3.84375,3.78125,1.5399537086486816
12-06-1973,3.828125,0.0,11200,4.0,3.953125,1.6099517345428467
